gene,t_stat,p_value,p_adj,significant,log2FC,regulation
SSTR1,-18.748569256530338,2.883068131282155e-24,2.1880900106451036e-22,True,-4.458588220015545,DOWN
PVRL1,18.728597266243117,3.021129246671928e-24,2.2824010678624223e-22,True,3.672350488063591,UP
B4GALNT4,18.700499193494803,3.2268356371389116e-24,2.4267270734756044e-22,True,4.843954722248505,UP
BUB1B,18.685552457632085,3.342010591877675e-24,2.501971277946431e-22,True,4.05394703850206,UP
CDK1,18.662736368392558,3.525945114100922e-24,2.6187495516722825e-22,True,2.8598066834498015,UP
HYAL1,-18.662288929963683,3.529653369736591e-24,2.6187495516722825e-22,True,-3.44883874795456,DOWN
FAM105A,-18.66028248134704,3.546331148848375e-24,2.6193771811471594e-22,True,-2.986076803968335,DOWN
ARHGAP11A,18.639471171807457,3.7241175243361734e-24,2.7384677528951994e-22,True,2.7008048766960098,UP
NXPH4,18.62450813137511,3.857523985951697e-24,2.824014794140302e-22,True,5.2681949401444115,UP
NDC80,18.62186623407985,3.881578599057917e-24,2.829106516361817e-22,True,3.6839021637487006,UP
FKBP4,18.60377406099339,4.050461402494518e-24,2.939249294047009e-22,True,1.7494107979697677,UP
HSPA12B,-18.56723776097813,4.4146661250606935e-24,3.1895480803113177e-22,True,-3.0629474967619332,DOWN
RNASE1,-18.563301376181265,4.455843112597794e-24,3.205301056431761e-22,True,-3.14254952619566,DOWN
RAD51,18.559104055674386,4.50018017847914e-24,3.209287976419714e-22,True,3.216268904121338,UP
PGM5,-18.55977587205746,4.493053608567159e-24,3.209287976419714e-22,True,-3.9625356709473456,DOWN
ORC1,18.55145629802179,4.582122007368186e-24,3.2461438015201633e-22,True,3.246058010875787,UP
NR0B2,-18.550626751677935,4.5911009341536304e-24,3.2461438015201633e-22,True,-4.974053862115759,DOWN
RP11-830F9.6,-18.544565835850243,4.6572490856747545e-24,3.271136866627857e-22,True,-2.47004398517587,DOWN
MRGBP,18.54377135445038,4.6659915413972456e-24,3.271136866627857e-22,True,1.3447027356853383,UP
SERINC1,-18.531612239992533,4.801892339745389e-24,3.35220712072099e-22,True,-1.3331369260909707,DOWN
CD93,-18.52127317308315,4.920614849623595e-24,3.420654314580772e-22,True,-3.0035243288412588,DOWN
ECT2,18.5185634940498,4.952220753104637e-24,3.4282214376617663e-22,True,2.81097556175411,UP
KIFC1,18.509299939391862,5.061839774643588e-24,3.489505794644924e-22,True,3.3166611886994675,UP
GPA33,-18.50029275819671,5.1707920135315284e-24,3.520607154892146e-22,True,-5.04352938814985,DOWN
CST5,-18.500375395902164,5.1697816496162866e-24,3.520607154892146e-22,True,-4.256499487322145,DOWN
SULT1A1,-18.500858542721016,5.163878507848802e-24,3.520607154892146e-22,True,-2.754510891921859,DOWN
MYOC,-18.49327729664565,5.257302495410963e-24,3.564838925679278e-22,True,-5.070207377323385,DOWN
KPNA2,18.4833097028358,5.382755580527837e-24,3.6350077991768596e-22,True,2.3154897146450306,UP
TTLL12,18.46278432175515,5.65076865007855e-24,3.800486476241854e-22,True,1.8876431019395579,UP
CTSV,18.458611770062586,5.706891632079673e-24,3.8200527513616447e-22,True,4.1015722403211745,UP
C11orf21,-18.455115908599538,5.7543491111166596e-24,3.8200527513616447e-22,True,-2.9028466878960777,DOWN
