gene,log2FC,p_adj,category
GPD1L,-2.325299049393036,4.0435783179325466e-23,Downregulated
TTK,4.243657172483518,4.1527833092728564e-23,Upregulated
ANLN,4.115882365629189,4.168925189227381e-23,Upregulated
KIF2C,4.090979612516938,4.394099203523613e-23,Upregulated
LYVE1,-4.0476568546314695,4.398390524955524e-23,Downregulated
LEPR,-2.966065235671862,4.579709355061312e-23,Downregulated
MYO19,1.7243120105058836,4.8030640998802104e-23,Upregulated
SLC5A4,-3.021864020711894,5.346360763343231e-23,Downregulated
NEK2,4.301893029176022,5.416953409233739e-23,Upregulated
TMEM252,-2.8326629101679743,5.48255928870678e-23,Downregulated
KIF11,3.4480390505582434,5.591967670687753e-23,Upregulated
LRP2BP,-2.8570592342344305,6.406127483540264e-23,Downregulated
TIE1,-2.877261826997524,6.659365704388665e-23,Downregulated
BUB1,3.2455074486816957,7.106620860169172e-23,Upregulated
CENPI,3.13632561562506,7.115885556352581e-23,Upregulated
C19orf59,-6.0371025668934255,7.318504341355266e-23,Downregulated
GPIHBP1,-5.731264604550798,8.076079021485686e-23,Downregulated
DES,-5.184150546543999,8.256378488159665e-23,Downregulated
CENPE,2.8981616657436358,8.774458091395863e-23,Upregulated
EME1,2.830403609945467,9.4163380194432e-23,Upregulated
FAM110D,-2.9941948427034744,9.4163380194432e-23,Downregulated
MYBL2,4.667027511748046,9.430007086718358e-23,Upregulated
RASGRP4,-2.9332933796639216,9.631810749302552e-23,Downregulated
ALDH2,-2.389214044267314,9.631810749302552e-23,Downregulated
WDHD1,2.4013592291418027,1.0269347394587577e-22,Upregulated
AQP7,-3.769514795869732,1.0270538956667418e-22,Downregulated
SCUBE1,-4.9270266075334765,1.0455994464947372e-22,Downregulated
DPCR1,-4.572734656134485,1.0472400626475022e-22,Downregulated
TMEM100,-5.916487108256654,1.0684077718734777e-22,Downregulated
SHROOM4,-2.8339118140660435,1.0734499446606742e-22,Downregulated
HJURP,4.162120832888248,1.0734499446606742e-22,Upregulated
KRT6A,8.075547253045201,1.0734499446606742e-22,Upregulated
PLAC9,-3.694295782940325,1.0734499446606742e-22,Downregulated
GTSE1,3.7770707796256415,1.0749086635714564e-22,Upregulated
SPTBN1,-2.0352953608962903,1.1107487548438542e-22,Downregulated
FRY,-3.1729245583504198,1.1212610281773125e-22,Downregulated
STX12,-1.4160787943834752,1.1212610281773125e-22,Downregulated
MFAP4,-4.091762680686591,1.1458955795863367e-22,Downregulated
LIMS2,-3.2260835846124483,1.1528728095835597e-22,Downregulated
MBIP,-1.9976469405951016,1.1545481937376998e-22,Downregulated
DLGAP5,4.341702877736311,1.27285393331654e-22,Upregulated
GIMAP8,-3.3527250568417597,1.27285393331654e-22,Downregulated
EXO1,3.898175267359083,1.286811252561011e-22,Upregulated
MAD2L1,3.2243104934929274,1.2939045937375072e-22,Upregulated
GGTLC1,-7.192344803267118,1.3002796645876994e-22,Downregulated
KIF17,-2.8558828209359044,1.3019276852096337e-22,Downregulated
GPBAR1,-2.9081570388935307,1.3019276852096337e-22,Downregulated
HOXC13,5.059340802930912,1.3952861100121628e-22,Upregulated
EPAS1,-3.3039214771499257,1.4168256415487262e-22,Downregulated
ESPL1,3.234189080444313,1.4280091727368772e-22,Upregulated
RFC4,2.727447658063108,1.436935785231125e-22,Upregulated
CCNF,2.430591226864232,1.4835705416710136e-22,Upregulated
RSPO2,-4.6890575539933135,1.4996922713302442e-22,Downregulated
PHACTR1,-3.1215480085441243,1.4996922713302442e-22,Downregulated
TGFBR2,-2.8982316029639144,1.5316691091738598e-22,Downregulated
F11,-5.351142639527966,1.5432609289821625e-22,Downregulated
GDF10,-5.489867169503555,1.5432609289821625e-22,Downregulated
LRRC36,-5.082090242132132,1.5450677142879792e-22,Downregulated
ORC6,3.4603886748426387,1.578661219315325e-22,Upregulated
CCNB2,4.136109380687902,1.578661219315325e-22,Upregulated
KL,-3.5608943838044973,1.578661219315325e-22,Downregulated
LYSMD3,-1.3146917327327188,1.5832594531025478e-22,Downregulated
GAPDH,2.14117648299427,1.6268062230150573e-22,Upregulated
KLB,-3.53787216255023,1.6497467543433962e-22,Downregulated
SPAG5,3.132950466237616,1.6618977399974936e-22,Upregulated
TMEM132A,2.695492736817128,1.6618977399974936e-22,Upregulated
PRX,-4.0774847341392135,1.6645574853960813e-22,Downregulated
IL3RA,-2.733718224344951,1.6712464163518776e-22,Downregulated
SNRK,-1.620193447268233,1.6983374030289262e-22,Downregulated
NUP155,1.829602066160404,1.7188717110644391e-22,Upregulated
WWC2,-2.8346935357723924,1.813415687525405e-22,Downregulated
LYPD3,4.946476323071098,1.8753612519582409e-22,Upregulated
BIRC5,4.384930933706156,1.8801569315804926e-22,Upregulated
CDC6,3.968650869642688,2.011624841989652e-22,Upregulated
AHCYL2,-2.787252600155304,2.0346163560244344e-22,Downregulated
MYOCD,-3.5233256488486417,2.0441496872235845e-22,Downregulated
CD300LG,-5.844154191428726,2.0441496872235845e-22,Downregulated
SSTR1,-4.458588220015545,2.188090010645104e-22,Downregulated
PVRL1,3.672350488063591,2.2824010678624223e-22,Upregulated
B4GALNT4,4.843954722248505,2.4267270734756044e-22,Upregulated
BUB1B,4.05394703850206,2.501971277946431e-22,Upregulated
CDK1,2.859806683449801,2.6187495516722825e-22,Upregulated
HYAL1,-3.44883874795456,2.6187495516722825e-22,Downregulated
FAM105A,-2.986076803968335,2.6193771811471594e-22,Downregulated
ARHGAP11A,2.7008048766960098,2.7384677528952e-22,Upregulated
NXPH4,5.268194940144412,2.824014794140302e-22,Upregulated
NDC80,3.6839021637487006,2.8291065163618173e-22,Upregulated
FKBP4,1.7494107979697675,2.9392492940470093e-22,Upregulated
HSPA12B,-3.062947496761933,3.1895480803113177e-22,Downregulated
RNASE1,-3.14254952619566,3.205301056431761e-22,Downregulated
PGM5,-3.9625356709473456,3.209287976419714e-22,Downregulated
RAD51,3.216268904121338,3.209287976419714e-22,Upregulated
NR0B2,-4.974053862115759,3.2461438015201637e-22,Downregulated
ORC1,3.246058010875787,3.2461438015201637e-22,Upregulated
RP11-830F9.6,-2.47004398517587,3.271136866627857e-22,Downregulated
MRGBP,1.3447027356853385,3.271136866627857e-22,Upregulated
SERINC1,-1.333136926090971,3.35220712072099e-22,Downregulated
CD93,-3.0035243288412588,3.420654314580772e-22,Downregulated
ECT2,2.81097556175411,3.4282214376617663e-22,Upregulated
KIFC1,3.3166611886994675,3.489505794644924e-22,Upregulated
GPA33,-5.04352938814985,3.5206071548921463e-22,Downregulated
CST5,-4.256499487322145,3.5206071548921463e-22,Downregulated
SULT1A1,-2.754510891921859,3.5206071548921463e-22,Downregulated
MYOC,-5.070207377323385,3.564838925679278e-22,Downregulated
KPNA2,2.3154897146450306,3.63500779917686e-22,Upregulated
TTLL12,1.8876431019395576,3.800486476241854e-22,Upregulated
TNXB,-4.945883926903739,3.8200527513616447e-22,Downregulated
C11orf21,-2.9028466878960777,3.8200527513616447e-22,Downregulated
KCNT2,-3.4199725234963845,3.8200527513616447e-22,Downregulated
CTSV,4.101572240321175,3.8200527513616447e-22,Upregulated
VAMP2,-1.6433301802696505,4.167587028152481e-22,Downregulated
TRIP13,3.6398275792683705,4.211297456580169e-22,Upregulated
KIF18B,4.521824551913456,4.218241939662594e-22,Upregulated
CYB5A,-2.396862886215453,4.314053241222595e-22,Downregulated
CD5L,-4.184176591336754,4.360802478326515e-22,Downregulated
ITGA8,-3.713496237659272,4.565167743801452e-22,Downregulated
FRMD3,-2.8206085594010943,4.565167743801452e-22,Downregulated
SKA3,3.558870920502075,4.6882655035445215e-22,Upregulated
CDCA2,3.6236783066674008,4.692902275771429e-22,Upregulated
FAM131C,3.958059135460324,4.855677852107225e-22,Upregulated
CYP4B1,-6.3335212318347205,4.855677852107225e-22,Downregulated
PDK4,-4.53664797717152,4.859520080775021e-22,Downregulated
CEP55,3.988602215386527,4.985763235328046e-22,Upregulated
ALDH3B1,-3.634120122183968,5.016835688051075e-22,Downregulated
MELK,4.322595507472759,5.016835688051075e-22,Upregulated
MYZAP,-4.668840255043958,5.285393828717143e-22,Downregulated
GKN2,-7.613647503447059,5.447730570634033e-22,Downregulated
HELLS,2.840404942275283,5.447730570634033e-22,Upregulated
PLK4,2.390015481223478,5.5329195066141935e-22,Upregulated
EPB42,-2.3327143439413813,5.584191738228359e-22,Downregulated
ITLN2,-6.200861947737615,5.587137642140599e-22,Downregulated
C19orf48,1.8243159871647008,5.686947598294837e-22,Upregulated
DPYSL2,-2.7452976083423835,5.859609343326953e-22,Downregulated
HBA2,-5.224706551762672,5.9202260278613005e-22,Downregulated
CCDC69,-2.6415713361061988,6.002845287658418e-22,Downregulated
MCM8,2.112961047538884,6.269410244109187e-22,Upregulated
FANCI,2.7672657011100688,6.403823693066901e-22,Upregulated
HMGA1,2.5305888639384886,6.4210735626029895e-22,Upregulated
RNASEH2A,1.9135263102921731,6.568633510930184e-22,Upregulated
RAI2,-2.8300151887535483,6.698543418678706e-22,Downregulated
