Hugo_Symbol	Entrez_Gene_Id	TCGA-43-7657	TCGA-58-8386	TCGA-22-5478	TCGA-22-5472	TCGA-43-5670	TCGA-60-2709	TCGA-22-5489	TCGA-77-8007	TCGA-22-5471	TCGA-22-4609	TCGA-22-5482	TCGA-56-8082	TCGA-22-5483	TCGA-56-8623	TCGA-33-4587	TCGA-56-7579	TCGA-43-3394	TCGA-34-8454	TCGA-77-7338	TCGA-43-6143	TCGA-43-6773	TCGA-51-4080	TCGA-34-7107	TCGA-39-5040	TCGA-43-6771	TCGA-92-7340	TCGA-77-7138	TCGA-77-7142	TCGA-56-7823	TCGA-22-5491	TCGA-22-5481	TCGA-90-7767	TCGA-77-8008	TCGA-56-7730	TCGA-33-6737	TCGA-56-7582	TCGA-56-7731	TCGA-77-7337	TCGA-43-7658	TCGA-56-8201	TCGA-85-7710	TCGA-56-7580	TCGA-43-6647	TCGA-90-6837	TCGA-56-8083	TCGA-51-4079	TCGA-56-7222	TCGA-22-4593	TCGA-51-4081	TCGA-56-8309
CTC-273B12.7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MELK	9833	27.84	32.36	11.04	53.57	16.51	13.03	17.38	87.03	6.01	8.19	19.25	5.19	67.12	27.64	22.59	22.43	20.71	22.75	4.82	18.16	43.94	34.26	36.01	11.38	10.79	10.31	16.15	14.45	59.13	2.84	8.45	16.15	23.93	14.78	18.97	32.82	13.72	22.75	14.35	13.62	94.67	53.57	9.41	55.1	8.06	9.7	3.99	22.1	18.97	31.67
ARMC10	83787	638.15	607.87	490.14	647.07	532.74	555.41	493.56	791.35	595.34	575.03	599.49	473.41	595.34	497.0	813.63	629.35	507.46	591.22	728.11	507.46	559.28	555.41	540.19	769.69	432.53	575.03	620.67	748.61	642.59	480.04	551.56	559.28	529.06	595.34	669.92	624.99	473.41	638.15	599.49	423.61	660.68	796.86	536.45	483.38	493.56	473.41	728.11	679.29	514.56	559.28
TNFRSF1A	7132	3280.18	2816.11	2915.45	3982.99	3928.15	5672.41	3540.14	4123.49	3103.19	3103.19	3874.05	6887.62	4869.99	3081.75	2451.44	3820.7	4450.27	3018.3	3716.2	2935.74	5479.15	4388.98	3665.02	3820.7	6207.38	4512.4	3443.31	3257.52	3443.31	3665.02	4268.94	4869.99	5555.65	5292.48	4066.71	2502.97	7032.37	3639.7	3168.41	3395.89	2148.82	3742.05	5594.3	3280.18	3491.39	3690.52	2609.3	3768.09	4937.99	3190.46
PROSER2	254427	264.03	185.11	260.38	195.72	287.01	267.73	291.04	191.67	271.48	297.17	226.54	361.04	253.23	201.25	189.02	242.88	224.97	253.23	244.57	180.02	180.02	316.37	149.12	121.79	239.52	353.59	220.32	244.57	146.03	318.57	353.59	318.57	262.2	395.18	253.23	202.66	514.56	323.03	327.56	348.71	189.02	178.77	346.29	241.19	351.14	283.05	215.77	194.36	205.5	255.0
HS2ST1	9653	269.6	199.85	224.97	293.07	239.52	169.07	212.78	249.73	231.32	237.86	248.0	180.02	246.28	182.55	209.84	255.0	229.72	256.78	273.37	221.86	228.13	176.29	291.04	178.77	161.02	309.83	201.25	325.29	267.73	197.09	183.82	246.28	224.97	191.67	269.6	275.28	201.25	269.6	229.72	180.02	287.01	447.82	226.54	237.86	260.38	231.32	194.36	242.88	201.25	202.66
EXOC6B	23233	198.47	127.89	226.54	246.28	205.5	109.66	189.02	126.12	183.82	206.94	231.32	195.72	185.11	156.59	117.6	186.4	202.66	206.94	212.78	156.59	226.54	194.36	173.85	124.37	172.65	262.2	180.02	258.57	182.55	177.53	172.65	189.02	182.55	178.77	255.0	199.85	144.01	220.32	159.9	180.02	149.12	269.6	201.25	226.54	211.31	214.27	145.02	158.79	167.9	180.02
NUDCD3	23386	1407.55	1159.07	1487.87	1605.83	1359.57	941.27	1457.23	967.76	1498.22	1437.15	1674.06	954.43	1397.83	1191.69	1151.06	1175.27	1259.69	1286.18	1175.27	1268.46	1407.55	1322.37	1135.2	884.29	1096.5	1350.18	1304.15	1277.29	1216.75	1417.35	1407.55	1304.15	1286.18	1183.45	1529.73	1340.84	902.89	1286.18	1277.29	1233.75	1388.16	1397.83	1417.35	1674.06	1233.75	1313.23	1175.27	1498.22	1167.14	1111.82
COL25A1	84570	17.77	2.05	1.99	7.28	11.82	4.58	7.22	2.29	7.17	2.89	3.96	2.25	3.69	3.14	5.63	3.86	2.46	5.73	1.99	24.28	26.1	3.89	7.57	1.89	17.51	2.34	6.31	3.99	8.25	6.41	1.58	4.24	6.06	1.13	6.84	8.25	1.11	1.97	2.32	6.89	9.41	11.91	5.19	4.62	1.95	5.54	1.55	3.5	10.16	1.91
DBX1	120237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
U82695.9	0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	2.51	0.0	0.0	0.0	0.0	0.0	2.07	0.0	1.57	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.58	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	5.87	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94
TMOD1	7111	392.44	178.77	303.44	256.78	305.55	397.93	232.94	158.79	211.31	269.6	316.37	366.09	231.32	163.28	267.73	273.37	221.86	559.28	339.14	237.86	264.03	232.94	208.38	435.55	283.05	432.53	320.8	529.06	236.21	305.55	305.55	242.88	271.48	291.04	511.0	223.41	341.51	466.88	289.02	275.28	185.11	307.69	371.22	265.87	412.0	197.09	147.06	195.72	150.17	208.38
FGR	2268	1088.92	1651.0	1769.57	1397.83	1594.73	2451.44	1250.98	1216.75	1551.09	1159.07	1322.37	2367.9	1088.92	1923.14	1233.75	1870.53	2271.4	1819.35	896.64	1950.0	2468.49	2485.67	1529.73	1467.37	2090.03	1594.73	1605.83	1519.15	1073.91	1001.93	1745.2	1208.34	1857.6	1551.09	1073.91	1111.82	2520.38	1467.37	1447.15	2319.15	1857.6	1561.89	2032.85	1023.0	1529.73	934.76	2573.36	1757.34	2209.26	2720.15
ULBP2	80328	84.04	65.26	87.03	71.0	44.25	64.34	69.52	87.65	61.68	48.18	97.36	76.17	59.13	98.73	100.13	106.63	74.06	77.25	117.6	35.5	88.88	76.71	120.94	102.97	79.45	60.39	49.91	75.64	94.67	69.03	43.63	32.82	66.18	41.52	134.3	85.82	48.87	82.87	49.21	43.63	34.26	58.71	63.0	83.45	57.08	108.9	23.08	86.43	56.28	67.12
KIAA0087	0	1.25	4.94	2.2	0.82	1.69	0.34	0.82	0.75	2.71	1.79	1.23	1.16	0.0	3.08	3.69	3.03	2.25	2.27	0.8	0.4	2.2	1.66	0.92	2.97	0.78	5.06	3.14	2.68	3.0	2.2	2.73	3.03	0.75	0.36	2.56	3.0	0.35	1.23	2.12	1.77	3.99	5.87	1.25	0.77	2.61	3.14	1.25	0.0	1.79	0.75
AC093802.1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF130	55819	2287.2	2148.82	2520.38	2133.97	2555.58	2451.44	2104.58	3039.3	2335.28	1909.85	2104.58	1639.59	2271.4	2271.4	2119.22	2224.63	2434.5	2609.3	2047.0	2400.97	2351.53	2351.53	2209.26	1757.34	1977.24	1950.0	2178.83	2664.15	2104.58	1529.73	2271.4	2193.99	2032.85	1991.0	1781.89	2119.22	1605.83	2224.63	2351.53	2178.83	1909.85	2485.67	2018.8	1697.45	1819.35	1697.45	2816.11	2271.4	2193.99	2720.15
FAM13C	220965	297.17	162.14	167.9	320.8	283.05	76.17	166.73	130.6	144.01	201.25	320.8	159.9	84.63	189.02	224.97	178.77	182.55	368.65	228.13	231.32	320.8	158.79	289.02	202.66	98.04	246.28	246.28	351.14	183.82	127.89	109.66	164.42	199.85	120.1	389.72	341.51	76.17	199.85	144.01	149.12	156.59	265.87	223.41	212.78	122.64	329.84	86.43	113.56	146.03	164.42
MINOS1-NBL1	4681	69.03	228.13	44.25	106.63	37.59	143.01	50.27	144.01	100.13	48.87	45.85	96.68	139.07	75.11	102.25	73.03	4.98	69.03	120.94	138.1	117.6	25.35	57.49	103.69	136.19	2.46	22.92	10.47	94.01	86.43	107.38	10.55	38.67	53.57	27.05	36.27	125.24	84.63	57.89	161.02	94.01	118.43	53.19	44.57	176.29	46.5	82.29	180.02	78.34	167.9
TSSC4	10078	796.86	896.64	884.29	620.67	759.08	1001.93	1001.93	802.41	796.86	723.08	660.68	1073.91	954.43	934.76	872.1	616.37	414.87	961.07	555.41	1104.13	909.17	890.44	974.5	1001.93	1127.35	583.07	785.88	525.39	718.08	1159.07	1191.69	934.76	1143.1	1081.39	688.78	638.15	1268.46	591.22	802.41	1096.5	669.92	616.37	1037.29	902.89	921.88	1322.37	559.28	693.58	1008.9	785.88
PVRL1	5818	143.01	89.51	147.06	249.73	185.11	158.79	181.28	169.07	178.77	120.1	144.01	191.67	197.09	139.07	63.0	102.25	154.42	102.97	111.99	163.28	175.07	152.28	316.37	58.3	212.78	242.88	125.24	106.63	112.77	100.13	151.22	133.36	287.01	249.73	107.38	152.28	232.94	110.43	81.71	106.63	130.6	118.43	164.42	162.14	89.51	151.22	64.8	131.51	173.85	104.42
RPL39L	116832	185.11	269.6	89.51	176.29	145.02	74.58	190.34	309.83	135.24	142.01	140.04	118.43	172.65	177.53	334.46	150.17	133.36	166.73	158.79	214.27	163.28	212.78	206.94	283.05	77.25	101.54	132.44	122.64	181.28	159.9	151.22	140.04	170.25	189.02	193.01	154.42	73.54	123.5	129.69	128.79	249.73	206.94	106.63	121.79	115.97	182.55	97.36	137.14	186.4	158.79
SIGLEC14	100049587	271.48	373.81	511.0	120.1	277.2	267.73	303.44	158.79	199.85	76.71	348.71	121.79	246.28	98.04	208.38	275.28	163.28	204.07	99.43	293.07	435.55	291.04	521.76	46.84	316.37	426.57	0.0	285.03	334.46	54.72	136.19	190.34	242.88	140.04	149.12	262.2	239.52	336.79	273.37	432.53	0.0	312.0	379.04	237.86	285.03	114.36	149.12	438.59	733.19	559.28
SSX4	6759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MARVELD3	91862	80.57	109.66	85.82	74.58	111.99	85.22	125.24	97.36	122.64	80.01	79.45	70.01	87.65	82.29	90.14	64.34	101.54	57.49	71.0	69.52	77.79	81.71	60.82	62.12	80.57	84.04	120.94	94.67	96.68	80.57	110.43	84.04	41.22	129.69	53.19	73.03	82.29	96.68	137.14	88.26	53.19	56.68	93.35	67.59	75.11	65.72	133.36	59.97	53.19	100.83
ZNF658	26149	49.21	40.93	37.32	44.57	51.71	18.16	40.93	36.01	47.17	31.9	33.06	20.26	20.86	35.5	60.82	32.59	38.67	38.12	53.57	35.76	43.63	30.12	21.32	45.85	25.91	51.35	59.13	47.17	33.06	38.12	34.75	36.27	29.7	31.9	48.18	39.5	20.56	34.75	42.71	21.63	48.52	69.03	35.25	36.01	27.05	30.56	41.81	27.25	25.35	26.28
MAP6D1	79929	18.16	16.88	23.76	20.41	36.53	25.35	23.25	18.03	14.78	20.26	24.46	36.79	23.76	23.08	16.63	18.84	18.16	22.75	26.28	37.59	11.21	21.47	19.97	24.46	27.64	27.64	21.94	21.47	20.11	32.36	26.67	40.36	29.48	55.1	21.63	32.36	40.36	24.46	26.86	20.86	29.06	31.22	24.63	20.71	27.44	42.41	22.1	27.44	22.26	17.64
