Hugo_Symbol	Entrez_Gene_Id	TCGA-43-7657	TCGA-58-8386	TCGA-22-5478	TCGA-22-5472	TCGA-43-5670	TCGA-60-2709	TCGA-22-5489	TCGA-77-8007	TCGA-22-5471	TCGA-22-4609	TCGA-22-5482	TCGA-56-8082	TCGA-22-5483	TCGA-56-8623	TCGA-33-4587	TCGA-56-7579	TCGA-43-3394	TCGA-34-8454	TCGA-77-7338	TCGA-43-6143	TCGA-43-6773	TCGA-51-4080	TCGA-34-7107	TCGA-39-5040	TCGA-43-6771	TCGA-92-7340	TCGA-77-7138	TCGA-77-7142	TCGA-56-7823	TCGA-22-5491	TCGA-22-5481	TCGA-90-7767	TCGA-77-8008	TCGA-56-7730	TCGA-33-6737	TCGA-56-7582	TCGA-56-7731	TCGA-77-7337	TCGA-43-7658	TCGA-56-8201	TCGA-85-7710	TCGA-56-7580	TCGA-43-6647	TCGA-90-6837	TCGA-56-8083	TCGA-51-4079	TCGA-56-7222	TCGA-22-4593	TCGA-51-4081	TCGA-56-8309
KRTAP4-2	85291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.65	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0
A1CF	29974	0.42	0.0	0.4	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.41	0.0	0.0	1.19	0.0	0.0	0.0	0.41	0.0	0.67	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.75	0.0	0.39	0.0	0.0	0.0	0.39	0.44	0.0	0.0	0.0	0.68	0.0	0.68	0.42	0.0	0.0	1.35	0.0	0.0	0.0	0.69	0.0
FAM21C	55747	299.25	567.1	275.28	339.14	209.84	358.54	255.0	376.41	193.01	273.37	198.47	400.71	260.38	457.25	318.57	249.73	151.22	155.5	339.14	389.72	204.07	119.26	444.72	343.89	269.6	166.73	218.79	346.29	353.59	145.02	258.57	336.79	260.38	190.34	283.05	279.14	256.78	279.14	299.25	299.25	299.25	211.31	341.51	223.41	332.14	241.19	339.14	299.25	361.04	316.37
HBCBP	0	0.0	5.68	1.08	2.92	0.0	0.0	6.31	3.0	0.0	0.0	1.13	0.0	1.79	7.11	0.0	0.0	1.53	5.36	0.0	1.0	2.07	0.0	1.58	0.0	0.0	2.78	1.07	0.0	0.0	1.03	1.46	0.0	1.33	1.03	5.82	0.0	0.0	1.5	1.01	2.27	0.0	0.0	0.0	0.0	11.21	0.0	1.46	4.58	1.77	5.77
SMAP1	60682	490.14	285.03	500.46	543.96	316.37	497.0	444.72	353.59	420.68	583.07	647.07	693.58	669.92	381.68	733.19	341.51	612.11	420.68	532.74	336.79	358.54	825.0	450.94	417.77	476.71	366.09	432.53	708.18	612.11	463.65	361.04	454.09	444.72	753.83	836.53	934.76	473.41	567.1	343.89	363.56	258.57	583.07	432.53	329.84	688.78	599.49	473.41	381.68	587.13	463.65
RSPH10B2	222967	3.26	3.32	22.92	40.07	8.13	2.86	2.97	0.71	3.44	0.16	0.41	0.0	4.5	178.77	1.14	0.09	1.95	1.6	1.75	0.88	1.06	0.0	1.71	7.11	0.0	0.13	0.0	0.13	1.95	14.78	1.28	0.0	0.88	1.71	0.45	2.81	0.0	1.91	5.41	4.1	1.46	0.74	0.88	1.16	10.24	0.13	5.19	3.79	4.7	0.14
CREB3L4	148327	417.77	187.71	351.14	460.44	339.14	283.05	656.11	309.83	314.17	253.23	231.32	540.19	361.04	320.8	1628.26	212.78	974.5	291.04	320.8	1733.13	309.83	928.3	493.56	400.71	132.44	251.48	381.68	466.88	607.87	376.41	713.11	1044.52	285.03	563.18	265.87	414.87	283.05	205.5	1733.13	208.38	890.44	356.05	169.07	242.88	1051.79	412.0	275.28	256.78	285.03	307.69
PEX14	5195	232.94	384.34	447.82	417.77	518.15	426.57	379.04	441.64	267.73	307.69	363.56	529.06	273.37	718.08	343.89	329.84	264.03	414.87	199.85	521.76	384.34	201.25	295.11	429.54	381.68	249.73	258.57	178.77	208.38	281.09	583.07	387.02	414.87	329.84	460.44	134.3	460.44	358.54	525.39	363.56	409.15	343.89	384.34	444.72	571.05	205.5	307.69	376.41	285.03	476.71
PPM1J	333926	264.03	228.13	63.89	214.27	113.56	40.07	41.22	64.8	36.53	42.41	177.53	183.82	28.04	37.32	42.71	94.67	193.01	157.68	73.54	71.0	157.68	113.56	60.82	55.49	90.14	61.25	45.85	85.22	7.51	128.79	64.8	31.22	34.26	94.01	29.91	71.0	68.07	51.35	17.51	100.13	26.67	107.38	52.45	132.44	80.57	45.53	156.59	89.51	121.79	126.12
ACSL4	2182	113.56	470.14	332.14	536.45	185.11	454.09	698.41	674.59	264.03	860.08	224.97	212.78	460.44	928.3	351.14	127.89	435.55	438.59	514.56	656.11	381.68	255.0	536.45	264.03	334.46	343.89	361.04	483.38	190.34	217.27	400.71	1096.5	387.02	293.07	567.1	483.38	791.35	753.83	271.48	529.06	297.17	242.88	599.49	145.02	493.56	591.22	1233.75	1183.45	423.61	514.56
GDPD1	284161	16.63	31.0	57.49	52.82	61.25	38.4	21.94	49.56	24.99	22.43	11.47	34.02	36.01	58.3	72.01	7.94	72.52	22.92	41.22	51.71	17.38	106.63	19.11	63.45	13.93	40.64	6.73	51.35	30.12	55.1	47.84	53.57	21.01	68.55	28.86	25.35	23.59	18.97	55.89	28.65	16.27	36.01	17.9	27.25	47.17	17.51	37.05	15.0	40.36	29.06
WDR37	22884	236.21	224.97	126.12	248.0	173.85	149.12	118.43	157.68	74.58	170.25	151.22	183.82	104.42	244.57	212.78	124.37	152.28	128.79	224.97	167.9	111.21	55.1	217.27	150.17	133.36	204.07	92.7	170.25	102.97	120.94	214.27	140.04	262.2	63.45	111.21	127.0	172.65	202.66	178.77	193.01	262.2	141.02	153.34	281.09	197.09	99.43	169.07	180.02	111.99	208.38
DLGAP3	58512	51.71	8.32	8.25	3.08	6.62	3.92	12.09	7.57	8.19	5.06	3.89	1.6	2.03	4.35	0.95	4.46	4.66	5.54	6.31	3.17	7.06	2.78	7.28	14.35	4.78	4.78	2.03	7.11	4.43	7.94	8.06	76.17	6.94	3.26	4.13	4.24	11.82	2.84	32.82	4.94	2.29	2.18	7.4	3.14	83.45	2.14	1.36	6.73	5.92	3.38
NUPR1L	389493	42.71	3.08	420.68	14.67	248.0	7.82	53.19	0.0	14.45	8.71	10.71	5.5	18.29	13.83	149.12	0.0	84.63	18.03	18.56	73.54	5.54	40.07	2.43	124.37	0.0	2.43	13.03	150.17	0.0	26.28	111.99	100.83	41.52	15.8	12.55	0.0	66.18	19.97	3.5	0.0	100.83	3.96	4.17	6.26	281.09	23.93	22.75	3.47	0.0	9.85
TFAP4	7023	470.14	316.37	267.73	368.65	145.02	403.5	336.79	387.02	728.11	237.86	1662.49	273.37	400.71	137.14	571.05	346.29	287.01	629.35	336.79	199.85	366.09	226.54	1208.34	234.57	205.5	171.45	366.09	289.02	791.35	603.67	633.73	463.65	307.69	571.05	228.13	379.04	195.72	297.17	503.95	409.15	490.14	830.75	135.24	309.83	785.88	312.0	583.07	438.59	389.72	320.8
TPT1	7178	84694.64	70727.3	41763.8	68793.23	71219.26	78476.96	64632.75	59063.35	67846.12	97288.74	69271.73	30361.44	55107.99	115696.65	35856.82	53973.86	135693.24	48643.87	68318.04	46986.85	71714.63	161367.56	59063.35	44145.15	131071.0	79022.82	65990.84	80683.28	36357.37	85283.74	36106.23	54349.29	68318.04	51417.5	118127.7	87681.42	103551.29	62431.08	31215.04	101420.22	74243.68	110983.6	54727.32	61146.25	50011.46	69271.73	53973.86	76330.98	71714.63	53230.77
SPATA4	132851	1.06	2.16	10.31	17.38	1.93	6.67	4.21	3.53	0.0	0.04	0.01	0.0	5.36	116.78	0.0	0.0	6.26	2.53	0.0	1.79	3.26	2.48	0.0	0.53	0.62	0.55	1.2	2.89	0.0	18.43	1.0	9.56	0.06	0.91	0.0	0.87	1.48	0.52	5.54	1.03	3.26	1.87	0.97	0.33	1.73	2.07	8.0	1.95	0.23	0.3
SCLY	51540	159.9	323.03	264.03	199.85	339.14	264.03	414.87	123.5	291.04	229.72	194.36	237.86	332.14	191.67	312.0	271.48	208.38	267.73	204.07	181.28	293.07	343.89	307.69	152.28	127.0	159.9	186.4	167.9	229.72	241.19	295.11	318.57	232.94	293.07	181.28	237.86	147.06	138.1	346.29	226.54	153.34	414.87	275.28	133.36	358.54	198.47	379.04	244.57	170.25	281.09
DACT2	168002	381.68	3.38	4.1	48.87	3.59	24.46	120.94	0.82	82.29	194.36	166.73	66.18	262.2	43.02	31.45	125.24	113.56	1.36	60.39	0.23	11.82	120.94	100.83	33.54	1.89	5.23	1.83	180.02	24.81	24.11	0.0	381.68	45.53	185.11	145.02	130.6	40.36	17.77	26.1	22.26	2.01	460.44	7.11	0.93	346.29	4.31	0.8	25.72	87.03	134.3
C14orf64	0	29.27	277.2	4.94	35.5	3.47	25.35	69.52	16.75	201.25	46.18	28.04	5.36	5.45	56.68	41.81	4.35	10.79	54.72	20.71	6.67	34.26	4.74	24.46	7.28	31.45	18.84	37.85	30.34	8.78	27.84	16.27	71.0	23.59	47.84	24.11	24.99	34.51	58.3	53.19	2.71	13.12	1.83	10.79	5.73	94.67	43.94	2.34	10.79	15.68	43.32
PARP6	56965	1340.84	941.27	1268.46	780.44	928.3	1295.13	1088.92	1081.39	1242.34	830.75	1191.69	1199.98	743.43	1151.06	1508.65	1397.83	902.89	1277.29	1159.07	1268.46	1572.76	1143.1	713.11	1143.1	836.53	842.36	2018.8	314.17	647.07	438.59	1191.69	728.11	1331.57	1477.58	1143.1	866.07	547.75	536.45	1617.0	947.83	1259.69	642.59	836.53	1225.22	1135.2	708.18	1030.12	796.86	1295.13	896.64
SLC9A6	10479	60.39	158.79	166.73	175.07	279.14	194.36	131.51	114.36	156.59	170.25	144.01	154.42	177.53	176.29	106.63	176.29	145.02	154.42	329.84	98.73	108.14	128.79	373.81	74.58	134.3	114.36	457.25	251.48	153.34	146.03	74.06	198.47	191.67	260.38	98.73	182.55	130.6	234.57	218.79	169.07	111.21	178.77	143.01	82.29	146.03	175.07	157.68	291.04	181.28	178.77
ZNF569	148266	129.69	45.85	30.56	40.07	69.52	33.78	86.43	55.89	41.81	36.27	30.56	40.07	51.71	52.45	85.82	4.24	72.01	44.25	19.11	71.5	24.11	32.13	45.21	46.18	20.26	51.71	50.27	83.45	52.82	15.45	209.84	108.14	32.59	27.64	56.28	17.13	31.0	73.03	59.13	17.0	40.36	15.91	46.5	56.68	110.43	28.04	52.08	39.22	24.46	47.5
ASZ1	136991	0.0	0.45	0.42	1.06	3.79	0.47	0.87	0.0	0.0	0.47	0.43	0.0	0.0	1.97	0.0	0.0	0.43	0.0	0.45	0.0	0.56	0.42	0.45	0.0	0.0	0.45	0.0	0.44	0.0	0.0	0.42	0.0	0.0	0.0	0.46	0.0	0.47	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0
CTD-3138B18.4	0	0.32	0.65	0.59	1.2	0.0	1.73	2.51	1.23	0.57	0.35	0.62	0.0	1.19	0.71	0.27	0.0	0.0	0.61	1.0	0.83	0.0	0.0	1.31	0.64	0.36	1.95	0.0	0.96	0.55	0.85	2.12	0.32	0.74	0.0	1.68	0.0	0.0	1.55	1.13	0.62	0.85	0.0	2.94	1.39	1.2	1.57	0.3	0.0	0.58	0.0
PRX	57716	406.31	173.85	75.11	120.94	149.12	54.33	41.81	50.27	8.38	91.41	15.68	31.0	29.06	660.68	15.91	14.67	56.68	54.33	15.11	27.44	74.58	27.05	43.32	140.04	33.3	17.0	29.27	55.89	30.34	12.74	21.63	48.87	57.89	61.68	50.98	41.52	186.4	8.38	27.44	41.22	24.28	40.36	43.02	45.85	120.94	19.97	23.93	38.12	33.54	127.0
C2orf68	388969	1037.29	426.57	1870.53	555.41	947.83	866.07	1350.18	669.92	1896.65	559.28	518.15	1081.39	878.17	547.75	1417.35	688.78	1051.79	684.02	587.13	1322.37	414.87	1572.76	486.75	1340.84	429.54	796.86	1225.22	1135.2	693.58	802.41	1709.26	1407.55	563.18	1487.87	703.28	688.78	583.07	591.22	1477.58	543.96	791.35	642.59	559.28	567.1	669.92	624.99	384.34	647.07	748.61	718.08
CHMP4C	92421	718.08	56.68	281.09	426.57	713.11	170.25	269.6	343.89	287.01	435.55	454.09	406.31	563.18	167.9	441.64	123.5	638.15	66.18	426.57	703.28	185.11	503.95	148.09	295.11	234.57	224.97	334.46	414.87	121.79	500.46	142.01	117.6	228.13	269.6	902.89	412.0	297.17	555.41	215.77	197.09	532.74	320.8	271.48	400.71	309.83	265.87	336.79	30.34	102.97	102.97
SEZ6L2	26470	616.37	529.06	476.71	454.09	1594.73	172.65	607.87	251.48	356.05	457.25	131.51	303.44	497.0	177.53	40.36	540.19	450.94	532.74	497.0	89.51	563.18	38.95	796.86	141.02	204.07	273.37	529.06	281.09	902.89	470.14	46.18	414.87	460.44	332.14	112.77	426.57	563.18	470.14	221.86	420.68	171.45	289.02	1857.6	836.53	753.83	183.82	202.66	1286.18	118.43	2895.31
DPY19L4	286148	384.34	251.48	271.48	281.09	361.04	253.23	285.03	684.02	149.12	346.29	343.89	329.84	346.29	193.01	426.57	199.85	379.04	447.82	466.88	981.29	206.94	718.08	267.73	297.17	118.43	339.14	441.64	309.83	356.05	287.01	134.3	279.14	283.05	177.53	305.55	493.56	189.02	612.11	426.57	279.14	454.09	323.03	376.41	239.52	463.65	244.57	260.38	325.29	361.04	197.09
FAM35A	54537	376.41	239.52	253.23	327.56	208.38	271.48	197.09	353.59	275.28	260.38	255.0	144.01	356.05	277.2	181.28	204.07	366.09	237.86	285.03	193.01	253.23	267.73	244.57	379.04	195.72	242.88	356.05	476.71	186.4	237.86	244.57	323.03	205.5	178.77	220.32	199.85	194.36	194.36	175.07	320.8	258.57	223.41	295.11	193.01	318.57	208.38	327.56	249.73	260.38	205.5
PLA2G4C	8605	50.27	88.88	75.11	140.04	175.07	368.65	297.17	275.28	127.0	262.2	143.01	40.07	118.43	387.02	37.85	59.13	140.04	204.07	123.5	127.89	175.07	113.56	189.02	57.89	101.54	111.99	236.21	137.14	61.68	124.37	775.05	351.14	260.38	91.41	108.14	145.02	152.28	236.21	151.22	190.34	50.27	108.14	279.14	193.01	55.1	116.78	47.84	66.65	89.51	579.04
CTC-487M23.8	0	59.97	2.84	52.45	55.1	59.13	14.35	28.86	38.67	35.5	32.59	21.32	32.82	34.75	11.91	59.55	68.07	13.93	8.58	93.35	50.27	16.03	24.99	27.05	167.9	35.76	103.69	158.79	22.43	11.13	20.26	32.59	88.26	34.26	88.88	37.05	26.47	57.89	58.3	62.56	3.32	37.05	0.0	32.36	11.82	13.93	36.79	26.47	23.42	44.89	19.11
E2F7	144455	156.59	126.12	71.0	107.38	53.19	69.03	42.11	74.58	87.65	144.01	126.12	119.26	92.05	9.93	202.66	86.43	128.79	94.01	149.12	217.27	50.63	129.69	249.73	38.12	88.26	56.28	105.89	107.38	201.25	108.9	78.89	76.71	48.18	198.47	38.67	157.68	22.43	156.59	236.21	56.28	158.79	80.01	177.53	88.88	144.01	100.13	151.22	163.28	127.89	35.76
